delta-time,service,repetition 1,repetition 2,repetition 3,repetiton 4,avg,max,min,Desviacion Standard,p95,p99
0,neo4j-database,0.0061105561775843,0.3866082022155170,0.4191885527538070,0.4388481666883360,0.31268886945881,0.438848167,0.006110556,0.177983623,0.435899225,0.438258378
10,neo4j-database,0.0248270854903437,0.4027271962606870,0.4354226594081820,0.4381117714212550,0.32527217814512,0.438111771,0.024827085,0.174020427,0.437708405,0.438031098
20,neo4j-database,0.0273375722993631,0.4027271962606870,0.4354226594081820,0.4381117714212550,0.32589979984737,0.438111771,0.027337572,0.172936864,0.437708405,0.438031098
30,neo4j-database,0.1252658074541250,0.4027271962606870,0.4354226594081820,0.4381117714212550,0.35038185863606,0.438111771,0.125265807,0.130715097,0.437708405,0.438031098
40,neo4j-database,0.1252658074541250,0.3861989047549660,0.4186280835913960,0.4483498493522150,0.34461066128818,0.448349849,0.125265807,0.128532238,0.443891584,0.447458196
50,neo4j-database,0.1252658074541250,0.3861989047549660,0.4186280835913960,0.4490027032340510,0.34477387475864,0.449002703,0.125265807,0.128664212,0.44444651,0.448091465
60,neo4j-database,0.1347412875000000,0.3861989047549660,0.4186280835913960,0.4490027032340510,0.34714274477010,0.449002703,0.134741288,0.124624804,0.44444651,0.448091465
70,neo4j-database,0.3254712180229490,0.4059879769005010,0.4524532850445480,0.4592773096063080,0.41079744739358,0.45927731,0.325471218,0.053360103,0.458253706,0.459072589
80,neo4j-database,0.3254712180229490,0.4059879769005010,0.4524532850445480,0.4594886328740250,0.41085027821051,0.459488633,0.325471218,0.053408159,0.458433331,0.459277572
90,neo4j-database,0.3254712180229490,0.4059879769005010,0.4524532850445480,0.4594886328740250,0.41085027821051,0.459488633,0.325471218,0.053408159,0.458433331,0.459277572
100,neo4j-database,0.4927278935289350,0.4240911232218730,0.3659011662573630,0.4547654908717200,0.43437141846997,0.492727894,0.365901166,0.046409202,0.487033533,0.454153669
110,neo4j-database,0.4927278935289350,0.4240911232218730,0.4299033843674450,0.4676675738683710,0.45359749374666,0.492727894,0.424091123,0.02811224,0.488968846,0.467245471
120,neo4j-database,0.4927278935289350,0.4240911232218730,0.4384168127490040,0.4676675738683710,0.45572585084205,0.492727894,0.424091123,0.026514688,0.488968846,0.467309322
130,neo4j-database,0.4797062783278440,0.4691967283166050,0.4639533066633320,0.4780375965145420,0.47272347745558,0.479706278,0.463953307,0.0064489,0.479455976,0.477878173
140,neo4j-database,0.4797062783278440,0.4691967283166050,0.4639533066633320,0.4792456646107090,0.47302549447962,0.479706278,0.463953307,0.006713558,0.479637186,0.47905906
150,neo4j-database,0.3788525555282540,0.4691967283166050,0.3871948095942540,0.4792456646107090,0.42862243951246,0.479245665,0.378852556,0.045831959,0.477738324,0.478944197
160,neo4j-database,0.4429232674103170,0.4884335704737520,0.3310964042696150,0.4792456646107090,0.43542472669110,0.48843357,0.331096404,0.062591611,0.487055385,0.488157933
170,neo4j-database,0.4429232674103170,0.4884335704737520,0.4607313498701740,0.4828578336880330,0.46873650536057,0.48843357,0.442923267,0.018150703,0.48759721,0.488266298
180,neo4j-database,0.4429232674103170,0.4884335704737520,0.4607313498701740,0.4828578336880330,0.46873650536057,0.48843357,0.442923267,0.018150703,0.48759721,0.488266298
190,neo4j-database,0.4092887504660800,0.4481856653782440,0.4017968814254370,0.4803170263399850,0.43489708090244,0.480317026,0.401796881,0.031587053,0.475497322,0.479353086
200,neo4j-database,0.4092887504660800,0.4481856653782440,0.4836717625665660,0.4743445598687800,0.45387268456992,0.483671763,0.40928875,0.028840735,0.482272682,0.483391946
210,neo4j-database,0.4092887504660800,0.4481856653782440,0.4150172429355900,0.4743445598687800,0.43670905466217,0.47434456,0.40928875,0.026318015,0.470420726,0.473559793
0,custom-collector,0.0000005569011061,0.7697301879282710,0.0076921049066913,0.0054992532349481,0.19573052574275,0.769730188,5.56901E-07,0.331410704,0.655424475,0.752510198
10,custom-collector,0.0000007498963379,1.0667947359168100,0.0069750892476251,0.0056792806784691,0.26986246393481,1.066794736,7.49896E-07,0.460116539,0.907821789,1.042886768
20,custom-collector,0.0000008979315882,1.3544903377529900,0.0069750892476251,0.0067744449813085,0.34206019247838,1.354490338,8.97932E-07,0.584533557,1.15236305,1.324117433
30,custom-collector,0.0000008979315882,1.3544903377529900,0.0069750892476251,0.0058859012503990,0.34183805654565,1.354490338,8.97932E-07,0.584661086,1.15236305,1.324110769
40,custom-collector,0.0002624173467564,2.1542505218852300,0.0084331047969896,0.0073827511354817,0.54258219879111,2.154250522,0.000262417,0.930502449,1.832377909,2.105900472
