"Time","cpu","endpoint","id","instance","job","metrics_path","namespace","node","pod","service","Value #A"
1758435820000,total,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,0.0003261101366307915
1758435830000,total,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,0.00040729668727578037
1758435840000,total,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,0.0004884832379207693
1758435850000,total,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,0.0004254499999999999
1758435860000,total,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,0.00030106583596808197
1758435870000,total,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,0.0003376525705222962
1758435880000,total,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,0.0004390408146505709
1758435890000,total,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,0.0002992050377383772
1758435900000,total,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,0.0002992050377383772
1758435910000,total,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,0.0002992050377383772
