"Time","cpu","endpoint","id","instance","job","metrics_path","namespace","node","pod","service","Value #A"
1758432480000,total,https-metrics,/kubepods/besteffort/pod1a494f39-dfdd-4ed0-9f59-46858b6dbd9b,192.168.49.2:10250,kubelet,/metrics/cadvisor,sample,minikube,sample-service-59d7988dd4-2r57f,prometheus-stack-kube-prom-kubelet,0.00037463003922102057
1758432495000,total,https-metrics,/kubepods/besteffort/pod1a494f39-dfdd-4ed0-9f59-46858b6dbd9b,192.168.49.2:10250,kubelet,/metrics/cadvisor,sample,minikube,sample-service-59d7988dd4-2r57f,prometheus-stack-kube-prom-kubelet,0.0004771261284545103
1758432510000,total,https-metrics,/kubepods/besteffort/pod1a494f39-dfdd-4ed0-9f59-46858b6dbd9b,192.168.49.2:10250,kubelet,/metrics/cadvisor,sample,minikube,sample-service-59d7988dd4-2r57f,prometheus-stack-kube-prom-kubelet,0.0005953633248835356
1758432525000,total,https-metrics,/kubepods/besteffort/pod1a494f39-dfdd-4ed0-9f59-46858b6dbd9b,192.168.49.2:10250,kubelet,/metrics/cadvisor,sample,minikube,sample-service-59d7988dd4-2r57f,prometheus-stack-kube-prom-kubelet,0.0007009756934823267
1758432540000,total,https-metrics,/kubepods/besteffort/pod1a494f39-dfdd-4ed0-9f59-46858b6dbd9b,192.168.49.2:10250,kubelet,/metrics/cadvisor,sample,minikube,sample-service-59d7988dd4-2r57f,prometheus-stack-kube-prom-kubelet,0.0007613253749617387
1758432555000,total,https-metrics,/kubepods/besteffort/pod1a494f39-dfdd-4ed0-9f59-46858b6dbd9b,192.168.49.2:10250,kubelet,/metrics/cadvisor,sample,minikube,sample-service-59d7988dd4-2r57f,prometheus-stack-kube-prom-kubelet,0.0007613253749617387
1758432570000,total,https-metrics,/kubepods/besteffort/pod1a494f39-dfdd-4ed0-9f59-46858b6dbd9b,192.168.49.2:10250,kubelet,/metrics/cadvisor,sample,minikube,sample-service-59d7988dd4-2r57f,prometheus-stack-kube-prom-kubelet,0.000700593081108794
1758432585000,total,https-metrics,/kubepods/besteffort/pod1a494f39-dfdd-4ed0-9f59-46858b6dbd9b,192.168.49.2:10250,kubelet,/metrics/cadvisor,sample,minikube,sample-service-59d7988dd4-2r57f,prometheus-stack-kube-prom-kubelet,0.000700593081108794
1758432600000,total,https-metrics,/kubepods/besteffort/pod1a494f39-dfdd-4ed0-9f59-46858b6dbd9b,192.168.49.2:10250,kubelet,/metrics/cadvisor,sample,minikube,sample-service-59d7988dd4-2r57f,prometheus-stack-kube-prom-kubelet,0.0005605657690858078
1758432615000,total,https-metrics,/kubepods/besteffort/pod1a494f39-dfdd-4ed0-9f59-46858b6dbd9b,192.168.49.2:10250,kubelet,/metrics/cadvisor,sample,minikube,sample-service-59d7988dd4-2r57f,prometheus-stack-kube-prom-kubelet,0.0005746008377587327
